longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
-119.9499,38.2668,20,610,355.14036144061015,345,90,3.1487,INLAND,170400
-118.0674,32.7155,28,516,225.47073162626185,293,92,3.1566,<1H OCEAN,120200
-117.6369,41.3447,15,494,520.0228658795806,966,439,10.7049,<1H OCEAN,318100
-118.8349,39.0192,16,402,469.56370294147183,861,96,11.906,<1H OCEAN,149600
-122.2474,32.8249,33,1069,88.97042379683433,136,707,4.1207,<1H OCEAN,165700
-116.7486,40.2789,47,1364,134.67169690445854,871,101,9.1206,<1H OCEAN,103200
-116.2625,34.4025,12,3905,757.4432210459491,3421,123,3.1033,INLAND,288900
-118.7702,38.0026,39,1148,102.6781702784508,3034,548,15.0,NEAR OCEAN,143800
-119.4144,36.933,39,264,315.0234710981618,380,158,2.0406,<1H OCEAN,161800
-123.1606,36.4885,43,649,144.1530285697561,1174,426,2.5897,<1H OCEAN,106100
-123.4605,40.9523,20,1681,129.9579687757112,326,112,9.8517,<1H OCEAN,116300
-120.9044,36.6549,29,1035,241.51329805244282,616,201,3.7676,NEAR BAY,62200
-121.1915,33.2158,43,1997,1134.5103272283156,345,411,10.2093,<1H OCEAN,148200
-114.7634,41.4931,49,765,418.91301742658055,261,135,3.3882,<1H OCEAN,113300
-116.4638,41.2451,3,2456,117.02821074867764,1348,500,6.6563,<1H OCEAN,94700
-117.7008,39.0021,48,1302,280.5676884523441,836,190,2.9571,INLAND,169300
-119.1235,36.945,5,1326,66.5805218848771,948,266,4.2826,<1H OCEAN,116000
-122.6263,33.3822,2,1218,50.48611007028232,1103,121,2.0786,INLAND,115700
-114.5154,40.0121,23,641,275.44522160123444,778,142,4.3548,<1H OCEAN,124200
-120.5496,33.217,26,1053,403.6154954168902,290,135,2.6467,<1H OCEAN,185200
-123.2307,33.1517,26,1346,729.7577260450697,787,159,15.0,<1H OCEAN,111600
-119.362,37.6051,7,411,317.6794924988519,558,722,3.6972,NEAR OCEAN,350500
-115.56,34.0212,10,1159,245.78935586853498,570,536,2.1845,<1H OCEAN,165600
-115.4271,32.5734,5,2566,193.01598852291394,312,335,6.7877,NEAR OCEAN,300200
-124.1903,36.5196,47,1485,354.05776631985896,199,154,2.1712,<1H OCEAN,101100
-115.437,33.8036,12,2855,104.46414731516117,422,135,7.5851,<1H OCEAN,163600
-121.5852,34.0249,32,1458,152.2015160287752,1028,124,3.2067,NEAR OCEAN,88600
-123.9103,33.2307,42,585,106.99137402488164,629,197,4.3814,<1H OCEAN,228300
-115.8221,34.4484,31,1907,169.53749681883593,2769,297,3.9994,<1H OCEAN,128800
-115.6613,39.2971,22,493,147.32849057901274,631,376,3.8487,<1H OCEAN,482800
-118.3377,40.1848,17,947,140.5067280876594,777,247,4.6522,<1H OCEAN,119100
-118.5557,36.7991,20,903,156.34838270777925,674,363,3.0104,<1H OCEAN,67200
-116.1688,37.3123,20,682,283.60010703907324,284,471,2.3275,<1H OCEAN,170300
-116.4369,32.8102,43,5798,594.8428081150543,653,188,4.5874,<1H OCEAN,198300
-115.3989,33.1585,8,1042,299.4022082729864,282,527,3.5302,INLAND,137500
-118.7725,34.9469,47,3893,163.81095010045303,629,122,2.0805,INLAND,101900
-114.6235,37.667,34,1394,332.4884283465206,162,368,6.479,<1H OCEAN,79600
-114.3385,39.5257,49,617,264.32101735315797,629,250,4.438,INLAND,248200
-123.1346,38.2475,23,823,275.47258548787664,748,276,2.335,<1H OCEAN,193200
-115.8046,36.2252,38,1067,240.75985305096646,793,189,3.886,INLAND,500000
-119.3018,33.6241,28,863,818.9471128354032,211,585,4.1094,INLAND,176800
-120.4243,39.9173,13,905,262.21315750151535,977,160,2.4146,INLAND,203500
-118.1693,35.956,29,1638,165.18276779224513,1126,646,15.0,INLAND,140900
-123.7403,39.4925,8,1416,142.0186897880762,309,649,4.4608,<1H OCEAN,500000
-119.2354,37.3733,11,1777,459.8933185424525,1463,335,3.9277,<1H OCEAN,224200
-115.5911,39.5173,47,3192,106.64154519653233,773,196,15.0,INLAND,152900
-122.1654,41.1193,45,788,632.6352626138378,633,136,5.8941,<1H OCEAN,399500
-120.0361,41.2498,18,2391,63.96484791237365,1047,60,9.2558,INLAND,177200
-114.9052,37.5835,50,2908,577.3208072259063,2433,357,4.7426,<1H OCEAN,500000
-120.0144,37.3593,25,2712,427.54581179993346,594,112,4.6578,<1H OCEAN,390400
-120.7163,35.0239,49,319,179.88267713940985,448,123,2.6827,INLAND,167100
-119.8946,41.3901,22,3859,144.72847058307008,3514,359,6.6948,<1H OCEAN,196400
-119.1055,36.8502,45,702,579.6962614058687,579,181,13.5884,<1H OCEAN,148100
-117.9801,33.7121,35,302,862.3302082974559,891,284,11.5451,NEAR BAY,265700
-116.2931,36.6107,29,3794,159.25072128596008,579,337,2.1677,<1H OCEAN,120000
-119.779,33.707,21,1570,367.3466797798396,183,752,13.6773,<1H OCEAN,500000
-116.1252,37.2741,7,1616,485.7275270985087,520,281,2.728,NEAR OCEAN,94700
-118.9628,37.8321,12,869,373.1779215896643,1617,166,2.5488,<1H OCEAN,153400
-120.9152,35.7087,36,1245,254.17403539563844,347,232,2.6339,NEAR BAY,170200
-117.7205,33.1807,24,994,186.25544781928477,1909,163,3.5445,<1H OCEAN,117500
-117.1228,41.4633,32,708,297.2599791548927,1225,912,1.4055,<1H OCEAN,74900
-118.7195,39.8469,27,1114,56.82641110577523,297,317,4.6258,<1H OCEAN,197300
-123.7339,40.4694,32,1187,625.4811879755746,253,368,3.8354,INLAND,150800
-122.6012,35.9852,32,434,74.08923365109219,248,630,4.5947,NEAR BAY,112600
-121.447,39.7279,32,1140,136.0548749583849,479,135,3.3281,NEAR OCEAN,114400
-121.4737,37.111,26,313,193.2287750261974,278,90,1.7243,INLAND,189700
-117.5658,34.4103,11,4205,121.62286643287482,1764,240,3.8334,<1H OCEAN,307800
-124.1165,33.682,46,1020,111.07722633516683,258,90,9.3207,NEAR OCEAN,277600
-116.7432,35.778,18,517,656.3101133083346,325,183,2.4446,INLAND,221600
-121.6466,33.8067,39,1570,860.4468362394034,2241,53,2.6475,<1H OCEAN,134200
-121.1998,41.9836,5,650,723.3994161379081,538,94,5.8881,NEAR OCEAN,110300
-119.0209,32.9673,16,1074,439.1593630325282,931,575,2.1323,NEAR OCEAN,163600
-122.1407,36.6909,11,1508,1373.5953223122194,964,324,5.132,INLAND,122200
-115.4553,36.7949,35,538,203.07769554608436,207,861,5.8499,<1H OCEAN,90000
-123.4463,35.356,48,4293,189.88270010434445,1264,239,3.1969,NEAR BAY,122700
-119.8562,37.9278,11,4589,246.6291495434398,1086,233,2.8581,<1H OCEAN,192400
-115.8058,33.9248,42,759,665.3601168836198,1121,284,1.9243,INLAND,94900
-118.1416,39.9472,23,499,368.78656080858116,386,3017,2.7881,<1H OCEAN,192800
-121.3767,35.6583,34,756,819.9398350675824,836,511,6.3007,NEAR BAY,163200
-120.0924,38.1178,48,785,256.1398756576361,579,135,7.4109,<1H OCEAN,192400
-117.2331,39.2986,17,2385,85.71281165724731,716,325,4.6562,INLAND,131900
-114.5674,40.9459,10,765,152.73855604555686,357,272,3.0998,<1H OCEAN,25200
-115.3686,40.44,18,486,501.35377432181906,571,405,4.6832,INLAND,105300
-120.8757,38.2789,44,1177,173.08203198540747,1453,908,2.7429,NEAR BAY,88400
-114.318,36.1897,8,386,261.5833778484412,142,369,4.9901,NEAR BAY,62400
-124.265,37.2804,26,2315,290.8287400324759,496,188,7.0155,<1H OCEAN,114100
-124.0237,39.803,3,1669,867.5980950340347,1108,902,3.3899,<1H OCEAN,128200
-116.0616,40.8367,52,720,452.8750995390814,278,98,2.768,<1H OCEAN,131100
-122.3054,33.4859,24,777,394.7726594790293,916,202,3.3447,INLAND,220700
-123.6923,36.1561,3,1305,273.3034709489367,967,459,8.6064,NEAR OCEAN,385300
-121.9285,39.8731,38,506,136.77606387043318,588,140,15.0,INLAND,149200
-120.039,36.6007,2,631,289.98117892023197,846,235,6.6137,<1H OCEAN,186200
-116.9943,35.6562,35,936,1122.1639170149936,2447,149,4.2892,<1H OCEAN,426400
-118.0566,36.4076,17,435,350.4656619635273,388,238,2.499,INLAND,88800
-121.9238,38.227,9,797,166.33553616814868,219,149,2.4077,<1H OCEAN,72500
-119.2673,41.9981,36,517,182.5413694041067,473,258,5.7927,<1H OCEAN,245600
-115.0379,37.1834,22,2976,660.5306287648838,300,194,2.807,<1H OCEAN,287400
-116.1499,34.4807,31,826,168.5535190291694,905,619,8.2771,<1H OCEAN,358800
